name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
David Irvine diplomat,M,Yes,AO,ACT,2005-06-13,2005,Post,https://en.wikipedia.org/wiki/David_Irvine_(diplomat),33021954,1135873,2011-09-08,2005-06-13,2011,2005,Officer of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to furthering Australian international interests and the development of trade links, particularly in negotiating a bilateral agreement with China for the supply of energy.",Australian diplomat and intelligence chief,1,2005-06-13,2005,2011,2278,6,2011-W36,2005-W24,325,on or after honours
David James Skellern,M,Yes,AO,NSW,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/David_James_Skellern,44284700,1145069,2014-11-03,2012-01-26,2014,2012,Officer of the Order of Australia,Australia Day 2012 Honours List,G,"For distinguished service to science and engineering as a leading researcher, and to the design and development of world-leading information technology communications applications.",Australian engineer and computer scientist,1,2012-01-26,2012,2014,1012,2,2014-W45,2012-W04,144,on or after honours
David Johnston admiral,M,Yes,AO,ACT,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/David_Johnston_(admiral),42375401,2000879,2014-04-02,2018-01-26,2014,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,M,For distinguished service to the Australian Defence Force in senior command and staff appointments.,Royal Australian Navy officer,2,2012-01-26,2012,2014,797,2,2014-W14,2012-W04,113,on or after honours
David Kemp Australian scientist,M,Yes,OAM,VIC,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/David_Kemp_(Australian_scientist),52633943,1137679,2016-12-19,2008-01-26,2016,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,"For service to medical research as a molecular biologist, particularly in the areas of tropical health and infectious diseases, through contributions to Indigenous health and to professional organisations.",Australian plant geneticist and parasitologist (1945–2013),1,2008-01-26,2008,2016,3250,8,2016-W51,2008-W04,464,on or after honours
David Kemp politician,M,Yes,AC,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/David_Kemp_(politician),573369,1154584,2004-04-03,2017-01-26,2004,2017,Companion of the Order of Australia,Australia Day 2017 Honours List,G,"For eminent service to the Parliament of Australia, notably in the areas of employment, education, training and youth affairs, to the environment, to institutional reform and public policy development, and to the community.",Australian politician,1,2017-01-26,2017,2004,-4681,-13,2004-W14,2017-W04,-669,before Honours
David Kissane,M,Yes,AC,VIC,2018-01-26,2018,Post,https://en.wikipedia.org/wiki/David_Kissane,65594237,2000675,2020-10-16,2018-01-26,2020,2018,Companion of the Order of Australia,Australia Day 2018 Honours List,G,"For eminent service to psychiatry, particularly psycho-oncology and palliative medicine, as an educator, researcher, author and clinician, and through executive roles with a range of national and international professional medical bodies.",Australian psychiatrist,1,2018-01-26,2018,2020,994,2,2020-W42,2018-W04,142,on or after honours
David Llewellyn Australian politician,M,Yes,AM,TAS,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/David_Llewellyn_(Australian_politician),15938304,1145892,2008-02-25,2012-06-11,2008,2012,Member of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For service to the Parliament of Tasmania, particularly through contributions in the portfolio areas of planning, resources, primary industry, Police and emergency management and health, to the community, and to the Anglican Church in Tasmania.",Australian politician,1,2012-06-11,2012,2008,-1568,-4,2008-W09,2012-W24,-224,before Honours
David Mabberley,M,Yes,AM,NSW,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/David_Mabberley,4850310,1152804,2006-04-22,2016-01-26,2006,2016,Member of the Order of Australia,Australia Day 2016 Honours List,G,"For significant service to horticultural science, particularly to plant taxonomy and tropical botany, as an academic, researcher and author.",British botanist,1,2016-01-26,2016,2006,-3566,-10,2006-W16,2016-W04,-510,before Honours
David Malin,M,Yes,AM,NSW,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/David_Malin,556583,2003400,2004-03-27,2019-01-26,2004,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,For significant service to science as an astronomer and astrophotographer.,British-Australian astronomical photographer,1,2019-01-26,2019,2004,-5418,-15,2004-W13,2019-W04,-774,before Honours
David Marchant businessman,M,Yes,AM,NSW,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/David_Marchant_(businessman),46229382,1146801,2015-03-26,2013-01-26,2015,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,For significant service to the rail industry through national structural reform and infrastructure upgrades.,Australian railway executive,1,2013-01-26,2013,2015,789,2,2015-W13,2013-W04,112,on or after honours
David McAllister dancer,M,Yes,AM,VIC,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/David_McAllister_(dancer),3221368,1056039,2005-11-23,2004-01-26,2005,2004,Member of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to the performing arts, particularly as Artistic Director of the Australian Ballet and as a Principal Dancer.",Australian ballet dancer,1,2004-01-26,2004,2005,667,1,2005-W47,2004-W05,95,on or after honours
David McSkimming,M,Yes,OAM,VIC,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/David_McSkimming,6077772,1145363,2006-07-23,2012-01-26,2006,2012,Medal of the Order of Australia,Australia Day 2012 Honours List,G,"For service to the performing arts, particularly opera, as a vocal coach and recital pianist.",Australian musician,1,2012-01-26,2012,2006,-2013,-6,2006-W29,2012-W04,-288,before Honours
David Mearns,M,Yes,OAM,Other,2010-11-01,2010,Post,https://en.wikipedia.org/wiki/David_Mearns,17033976,1143382,2008-04-21,2010-11-01,2008,2010,Medal of the Order of Australia,Honorary Military Award,HG,For service to Australia by locating HMAS Sydney II and AHS Centaur.,American maritime archaeologist,1,2010-11-01,2010,2008,-924,-2,2008-W17,2010-W44,-132,before Honours
David Morgan businessman,M,Yes,AO,NSW,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/David_Morgan_(businessman),3053768,1139663,2005-11-01,2009-01-26,2005,2009,Officer of the Order of Australia,Australia Day 2009 Honours List,G,"For service to the finance sector as a leader in the development of policies affecting the regulation of financial institutions, corporate social responsibility, and economic reform.","Australian businessman, born 1947",1,2009-01-26,2009,2005,-1182,-4,2005-W44,2009-W05,-169,before Honours
David Morrison,M,Yes,AO,NSW,2010-01-26,2010,Post,https://en.wikipedia.org/wiki/David_Morrison,15832486,1141714,2008-02-19,2010-01-26,2008,2010,Officer of the Order of Australia,Australia Day 2010 Honours List,M,"For distinguished service to the Australian Army in the fields of training and education, military strategic commitments and force structure and capability; in particular, as Commander Australian Defence College, Head Military Strategic Commitments and Deputy Chief of Army.",Australian army general,1,2010-01-26,2010,2008,-707,-2,2008-W08,2010-W04,-101,before Honours
David Nicholas,M,Yes,OAM,QLD,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/David_Nicholas,36348074,1149357,2012-07-07,2014-01-26,2012,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian Paralympic cyclist,1,2014-01-26,2014,2012,-568,-2,2012-W27,2014-W04,-82,before Honours
David Palmer squash player,M,Yes,OAM,NSW,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/David_Palmer_(squash_player),3451497,1134139,2005-12-18,2007-01-26,2005,2007,Medal of the Order of Australia,Australia Day 2007 Honours List,G,"For service to the sport of squash, particularly as a competitor.",Australian squash player,1,2007-01-26,2007,2005,-404,-2,2005-W50,2007-W04,-58,before Honours
David Parkin,M,Yes,OAM,VIC,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/David_Parkin,3376503,1147134,2005-12-10,2013-01-26,2005,2013,Medal of the Order of Australia,Australia Day 2013 Honours List,G,"For service to the sport of Australian rules football as an administrator, coach and player.",Australian rules footballer and coach,1,2013-01-26,2013,2005,-2604,-8,2005-W49,2013-W04,-372,before Honours
David Petraeus,M,Yes,AO,Other,2009-11-03,2009,Post,https://en.wikipedia.org/wiki/David_Petraeus,3223944,1141620,2005-11-23,2009-11-03,2005,2009,Officer of the Order of Australia,Honorary Military Award,HM,NA,retired American military officer and public official,1,2009-11-03,2009,2005,-1441,-4,2005-W47,2009-W45,-206,before Honours
David Reeves composer,M,Yes,OAM,NSW,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/David_Reeves_(composer),42021139,2003969,2014-02-23,2019-06-10,2014,2019,Medal of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For service to the performing arts, particularly through music composition.",Australian composer,1,2019-06-10,2019,2014,-1933,-5,2014-W08,2019-W24,-277,before Honours
David Reid politician,M,Yes,OAM,WA,2011-01-26,2011,Post,https://en.wikipedia.org/wiki/David_Reid_(politician),20285491,1143793,2008-11-19,2011-01-26,2008,2011,Medal of the Order of Australia,Australia Day 2011 Honours List,G,"For service to conservation and the environment, particularly through natural resource management roles.",Australian politician,1,2011-01-26,2011,2008,-798,-3,2008-W47,2011-W04,-114,before Honours
David Richardson priest,M,Yes,AO,VIC,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/David_Richardson_(priest),16689612,1152698,2008-03-31,2016-01-26,2008,2016,Officer of the Order of Australia,Australia Day 2016 Honours List,G,"For distinguished service to religion, and to the Anglican Church of Australia, through international representational, ecumenical development, and interfaith cooperation roles.","Anglican priest, born 1946",1,2016-01-26,2016,2008,-2857,-8,2008-W14,2016-W04,-409,before Honours
David Ritchie diplomat,M,Yes,AO,Other,2005-06-13,2005,Post,https://en.wikipedia.org/wiki/David_Ritchie_(diplomat),44445467,1135890,2014-11-19,2005-06-13,2014,2005,Officer of the Order of Australia,The Queen's Birthday 2005 Honours List,G,For service to ensuring Australia's long-term security interests in the region through efforts to gain co-operative action to address the threat of terrorism.,Australian diplomat,1,2005-06-13,2005,2014,3446,9,2014-W47,2005-W24,492,on or after honours
David Russell barrister,M,Yes,AM,QLD,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/David_Russell_(barrister),39017253,1145168,2013-04-05,2012-01-26,2013,2012,Member of the Order of Australia,Australia Day 2012 Honours List,G,"For service to the National Party of Australia and to politics, to taxation law and legal education, and to the community.",Australian international tax barrister,1,2012-01-26,2012,2013,435,1,2013-W14,2012-W04,62,on or after honours
David Short cyclist,M,Yes,OAM,NSW,2005-06-13,2005,Post,https://en.wikipedia.org/wiki/David_Short_(cyclist),33299412,1136321,2011-10-04,2005-06-13,2011,2005,Medal of the Order of Australia,The Queen's Birthday 2005 Honours List,G,For service to sport as a Gold Medallist at the Athens 2004 Paralympic Games.,Australian Paralympic tandem cycling pilot,1,2005-06-13,2005,2011,2304,6,2011-W40,2005-W24,329,on or after honours
David Simmons Australian politician,M,Yes,OAM,NSW,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/David_Simmons_(Australian_politician),10489778,884498,2007-04-06,2001-01-26,2007,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,"For service to the Australian Parliament, and to the community of the Hunter region.",Australian politician,1,2001-01-26,2001,2007,2261,6,2007-W14,2001-W04,323,on or after honours
David Smith canoeist,M,Yes,OAM,NSW,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/David_Smith_(canoeist),24031607,1149439,2009-08-19,2014-01-26,2009,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Olympic Games.,"Australian canoer, born 1987",1,2014-01-26,2014,2009,-1621,-5,2009-W34,2014-W04,-232,before Honours
David Smith Western Australian politician,M,Yes,OAM,WA,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/David_Smith_(Western_Australian_politician),50518443,2001292,2016-05-12,2018-06-11,2016,2018,Medal of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For service to the people and Parliament of Western Australia, to local government, and to the community of Bunbury.",Western Australian politician,1,2018-06-11,2018,2016,-760,-2,2016-W19,2018-W24,-109,before Honours
David Stratton,M,Yes,AM,NSW,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/David_Stratton,679114,1150917,2004-05-25,2015-01-26,2004,2015,Member of the Order of Australia,Australia Day 2015 Honours List,G,"For significant service to the film industry as a critic and reviewer, and as a promoter and ambassador for Australian cinema.",Australian film critic,1,2015-01-26,2015,2004,-3898,-11,2004-W22,2015-W05,-557,before Honours
David Thodey,M,Yes,AO,NSW,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/David_Thodey,22726782,1154651,2009-05-08,2017-01-26,2009,2017,Officer of the Order of Australia,Australia Day 2017 Honours List,G,"For distinguished service to business, notably to the telecommunications and information technology sectors, to the promotion of ethical leadership and workplace diversity, and to basketball.",Australian businessman who was the former Chief Executive Officer of Telstra,1,2017-01-26,2017,2009,-2820,-8,2009-W19,2017-W04,-403,before Honours
David Throsby,M,Yes,AO,NSW,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/David_Throsby,8918212,1148857,2007-01-14,2014-01-26,2007,2014,Officer of the Order of Australia,Australia Day 2014 Honours List,G,"For distinguished service to the community as a leading cultural economist, to the promotion and preservation of Australian arts and heritage, and to tertiary education.",Australian economist,1,2014-01-26,2014,2007,-2569,-7,2007-W02,2014-W04,-367,before Honours
David Tune,M,Yes,AO,ACT,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/David_Tune,42988325,1150774,2014-06-07,2015-01-26,2014,2015,Officer of the Order of Australia,Australia Day 2015 Honours List,G,"For distinguished service to public administration through leadership of finance, budget and social policy initiatives, as an adviser to government, and through disaster recovery coordination and liaison.",Australian public servant,1,2015-01-26,2015,2014,-233,-1,2014-W23,2015-W05,-34,before Honours
David Walsh art collector,M,Yes,AO,TAS,2016-01-26,2016,Post,https://en.wikipedia.org/wiki/David_Walsh_(art_collector),30594478,1152705,2011-01-23,2016-01-26,2011,2016,Officer of the Order of Australia,Australia Day 2016 Honours List,G,"For distinguished service to the visual arts through the establishment of the Museum of Old and New Art, and as a supporter of cultural, charitable, sporting and education groups.",Australian art collector,1,2016-01-26,2016,2011,-1829,-5,2011-W03,2016-W04,-262,before Honours
