name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
Alfred Lionel Rose,AM,1978,2016,2016-06-24,1978-01-26,Yes,1978-01-26,2001-01-15,2001,5639,15,Pre,M,NT,50911201,Member of the Order of Australia,"Mr Alfred Lionel ROSE, OBE, ED",Australia Day 1978 Honours List,G,AM. OBE. ED. (FORMER REF LT COL AL ROSE. NX 34700 1 AUST COMB OPS SEC). OBE 6/3/1947. AM AUST DAY 1978. FOR PUBLIC SERVICE AND FOR SERVICES TO PRIMARY INDUSTRY AND TO THE COMMUNITY,"(1898-1980) veterinarian, army officer and public servant",https://en.wikipedia.org/wiki/Alfred_Lionel_Rose,NA,1
Alfred Parsons,AO,1986,2008,2008-11-13,1986-06-09,Yes,1986-06-09,2001-01-15,2001,2859,7,Pre,M,ACT,20194025,Officer of the Order of Australia,His Excellency Mr Alfred Roy PARSONS,The Queen's Birthday 1986 Honours List,G,"AUST. HIGH COMMISSIONER (LONDON), C/O DEPT OF FOREIGN AFFARIS, CANBERRA ACT 2600. AO QB 86. FOR PUBLIC SERVICE AS A DIPLOMATIC REPRESENTATIVE",Australian diplomat,https://en.wikipedia.org/wiki/Alfred_Parsons,NA,1
Alfred van der Poorten,AM,2004,2012,2012-03-08,2004-01-26,Yes,2004-01-26,2004-01-26,2004,2964,8,Post,M,NSW,35009342,Member of the Order of Australia,Professor Alfred Jacobus van der POORTEN,Australia Day 2004 Honours List,NA,"For service to mathematical research and education, particularly in the field of number theory.",Dutch-Australian mathematician,https://en.wikipedia.org/wiki/Alfred_van_der_Poorten,NA,1
Ali Alatas,AO,1995,2005,2005-08-19,1995-03-30,Yes,1995-03-30,2001-01-15,2001,1677,4,Pre,M,Other,2488298,Officer of the Order of Australia,Mr Ali ALATAS,NA,HG,For service to Australian-Indonesian relations.,Foreign Minister of Indonesia (1932-2008),https://en.wikipedia.org/wiki/Ali_Alatas,NA,1
Alice Buffett,OAM,1998,2006,2006-12-22,1998-01-26,Yes,1998-01-26,2001-01-15,2001,2167,5,Pre,F,NSW,8562214,Medal of the Order of Australia,Ms Alice Inez BUFFETT,Australia Day 1998 Honours List,G,"FOR SERVICE TO THE NORFOLK ISLAND COMMUNITY, PARTICULARLY AS A MEMBER OF THE LEGISLATIVE ASSEMBLY ADVOCATING INITIATIVES TO IMPROVE H EALTH CARE FACILITIES AND SOCIAL INFRASTRUCTURE. OAM S14 1998",Norfolk Island politician,https://en.wikipedia.org/wiki/Alice_Buffett,NA,1
Alice Elphick,AC,2006,2017,2017-01-08,2006-01-26,Yes,1986-01-26,2001-01-15,2001,5837,16,Pre,U,NSW,52808030,Companion of the Order of Australia,Anonymous,Australia Day 2006 Honours List,G,"For service to medicine and to the community as a pioneer in the development of health care and as a driving force in the success of the multi-disciplinary initiatives established at St Vincent's Private Hospital, Sydney.",Australian nun,https://en.wikipedia.org/wiki/Alice_Elphick,NA,2
Alice Giles,AM,2017,2016,2016-02-23,2017-06-12,Yes,2017-06-12,2017-06-12,2017,-475,-1,Post,F,NSW,49527021,Member of the Order of Australia,Ms Alice Rosemary GILES,The Queen's Birthday 2017 Honours List,G,"For significant service to the performing arts as a harpist, educator and mentor, and through contributions to Australia's musical landscape.",Australian classical harpist,https://en.wikipedia.org/wiki/Alice_Giles,NA,1
Alice MacLennan,OAM,2012,2018,2018-11-27,2012-06-11,Yes,2012-06-11,2012-06-11,2012,2360,6,Post,F,SA,59168501,Medal of the Order of Australia,Dr Alice MacLENNAN,The Queen's Birthday 2012 Honours List,G,"For service to medicine, particularly in the area of women's reproductive health, and through roles with professional organisations.",Australian physician and researcher,https://en.wikipedia.org/wiki/Alice_MacLennan,NA,1
Alice Spigelman,AM,2012,2018,2018-12-11,2012-06-11,Yes,2012-06-11,2012-06-11,2012,2374,6,Post,F,NSW,59344223,Member of the Order of Australia,Ms Alice Eve-Marie SPIGELMAN,The Queen's Birthday 2012 Honours List,G,"For service to the community as an advocate for human rights and social justice, particularly for women and refugees, and through contributions to cultural organisations.","Australian clinical psychologist, writer and human rights advocate",https://en.wikipedia.org/wiki/Alice_Spigelman,NA,1
Alice Tait,OAM,2005,2004,2004-08-15,2005-01-26,Yes,2005-01-26,2005-01-26,2005,-164,-1,Post,F,QLD,901540,Medal of the Order of Australia,Miss Alice Mary MILLS,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Olympic Games.,"Australian swimmer, Olympic gold medallist, world champion, former world record-holder",https://en.wikipedia.org/wiki/Alice_Tait,NA,1
Alice Tay,AM,1985,2017,2017-01-04,1985-06-10,Yes,1985-06-10,2001-01-15,2001,5833,16,Pre,F,NSW,52771996,Member of the Order of Australia,Professor Alice Erh-soon TAY,The Queen's Birthday 1985 Honours List,G,AM QB 1985. FOR SERVICE TO LEGAL TEACHING AND RESEARCH,Australian academic lawyer,https://en.wikipedia.org/wiki/Alice_Tay,NA,1
