name,awardComb,honoursYear,wikipediaYear,WPDate,honoursDate,wikipediaPage,firstAwardDate,newAwardDate,newAwardYear,newTimeDiff,newYearDiff,prePostWikiPedia,gender,state,wikipediaPageID,AwardName,fullName,AnnouncementEvent,division,citation,wikiDataDescription,wikipediaURL,division2,numberOfHonours
A. D. Hope,AC,1981,2004,2004-09-15,1981-01-26,Yes,1981-01-26,2001-01-15,2001,1339,3,Pre,M,ACT,988577,Companion of the Order of Australia,"Emeritus Professor Alec Derwent HOPE, OBE",Australia Day 1981 Honours List,G,For service to literature.,Australian poet and essayist,https://en.wikipedia.org/wiki/A._D._Hope,NA,1
A. G. L. Shaw,AO,1982,2007,2007-03-29,1982-06-14,Yes,1982-06-14,2001-01-15,2001,2264,6,Pre,M,VIC,10358502,Officer of the Order of Australia,Professor Alan George Lewers SHAW,The Queen's Birthday 1982 Honours List,G,AO QB1982. FOR SERVICE TO EDUCATION,Australian historian (1916-2012),https://en.wikipedia.org/wiki/A._G._L._Shaw,NA,1
A. W. Martin,AM,1998,2019,2019-03-19,1998-06-08,Yes,1998-06-08,2001-01-15,2001,6637,18,Pre,M,ACT,60271096,Member of the Order of Australia,Dr Allan William MARTIN,The Queen's Birthday 1998 Honours List,G,"FOR SERVICE IN THE FIELD OF AUSTRALIAN HISTORIOGRAPHY AS A TEACHER SCHOLAR, AND BIOGRAPHER AND AS FOUNDATION PROFESSOR OF THE HISTORY DEPARTMENT AT LA TROBE UNIVERSITY. AM S242 1998",Australian historian,https://en.wikipedia.org/wiki/A._W._Martin,NA,1
Aaron Kearney,OAM,2020,2012,2012-04-18,2020-06-07,Yes,2020-06-07,2020-06-07,2020,-2972,-8,Post,M,NSW,35535936,Medal of the Order of Australia,Mr Aaron KEARNEY,The Queen's Birthday 2020 Honours List,G,For service to the broadcast media as a radio presenter.,Australian broadcaster and journalist,https://en.wikipedia.org/wiki/Aaron_Kearney,NA,1
Abdul Taib Mahmud,AO,2001,2005,2005-08-26,2001-12-21,Yes,2001-12-21,2001-12-21,2001,1344,4,Post,M,Other,8703527,Officer of the Order of Australia,Datuk Patinggi Tan Sri Haji Abdul TAIB Mahmud,NA,HG,For service to Australian-Malaysian bilateral relations.,seventh and current Yang di-Pertua Negeri of Sarawak,https://en.wikipedia.org/wiki/Abdul_Taib_Mahmud,NA,1
Adair Ferguson,OAM,1987,2018,2018-04-23,1987-01-26,Yes,1987-01-26,2001-01-15,2001,6307,17,Pre,F,QLD,57209782,Medal of the Order of Australia,Ms Adair Janelle FERGUSON,Australia Day 1987 Honours List,G,In recognition of service to the sport of rowing,Australian rower,https://en.wikipedia.org/wiki/Adair_Ferguson,NA,1
Adam Gilchrist,AM,2010,2004,2004-08-12,2010-06-14,Yes,2010-06-14,2010-06-14,2010,-2132,-6,Post,M,Other,896430,Member of the Order of Australia,Mr Adam Craig GILCHRIST,The Queen's Birthday 2010 Honours List,G,"For service to cricket as a player, and to the community as a supporter of a range of charitable organisations.",Australian cricketer,https://en.wikipedia.org/wiki/Adam_Gilchrist,NA,1
Adam Pine,OAM,2001,2006,2006-06-12,2001-01-26,Yes,2001-01-26,2001-01-26,2001,1963,5,Post,M,NSW,5535560,Medal of the Order of Australia,Mr Adam Robert PINE,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,"Australian swimmer, Olympic gold medallist",https://en.wikipedia.org/wiki/Adam_Pine,NA,1
Adam Voges,OAM,2020,2006,2006-01-28,2020-01-26,Yes,2020-01-26,2020-01-26,2020,-5111,-14,Post,M,WA,3871822,Medal of the Order of Australia,Mr Adam Charles VOGES,Australia Day 2020 Honours List,G,For service to cricket.,Australian cricketer,https://en.wikipedia.org/wiki/Adam_Voges,NA,1
Ade Monsbourgh,AO,1992,2018,2018-09-29,1992-01-26,Yes,1992-01-26,2001-01-15,2001,6466,17,Pre,M,VIC,58606942,Officer of the Order of Australia,Mr Adrian Herbert MONSBOURGH,Australia Day 1992 Honours List,G,"For service to music, particularly jazz as a performer and composer.",Australian jazz musician,https://en.wikipedia.org/wiki/Ade_Monsbourgh,NA,1
Adele Ferguson,AM,2019,2019,2019-01-28,2019-01-26,Yes,2019-01-26,2019-01-26,2019,2,0,Post,F,VIC,59788339,Member of the Order of Australia,Ms Adele FERGUSON,Australia Day 2019 Honours List,G,For significant service to the print and broadcast media as a journalist and business commentator.,Australian journalist,https://en.wikipedia.org/wiki/Adele_Ferguson,NA,1
Adele Green,AC,2004,2017,2017-09-22,2004-06-14,Yes,2004-06-14,2004-06-14,2004,4848,13,Post,F,QLD,55314327,Companion of the Order of Australia,Professor Adele Chandler GREEN,The Queen's Birthday 2004 Honours List,NA,"For service to medical research through significant advances made in the field of the epidemiology of skin cancer and ovarian cancer, to public health including improved Indigenous health, and for leadership in the wider scientific community.",Australian epidemiologist,https://en.wikipedia.org/wiki/Adele_Green,NA,1
Adrian Charles,AM,1994,2019,2019-08-30,1994-06-10,Yes,1994-06-10,2001-01-15,2001,6801,18,Pre,M,QLD,61645330,Member of the Order of Australia,The Right Reverend Adrian Owen CHARLES,The Queen's Birthday 1994 Honours List,G,In recognition of service to the community through the Anglican Church of Australia,Australian Anglican bishop,https://en.wikipedia.org/wiki/Adrian_Charles,NA,1
Adrian d'Hagé,AM,1993,2007,2007-01-10,1993-06-13,Yes,1993-06-13,2001-01-15,2001,2186,6,Pre,M,Other,8851114,Member of the Order of Australia,"Brigadier Adrian Stuart D'HAGE, MC",The Queen's Birthday 1993 Honours List,M,In recognition of service to the Army and the Defence Force in the field of operational planning and public information,Australian writer and brigadier,https://en.wikipedia.org/wiki/Adrian_d%27Hag%C3%A9,NA,1
Adrian David Cheok,AM,2019,2020,2020-05-10,2019-06-10,Yes,2019-06-10,2019-06-10,2019,335,1,Post,M,SA,63910206,Member of the Order of Australia,Professor Adrian David CHEOK,Queen's Birthday 2019 Honours List,G,For significant service to international education.,"Australian computer scientist, politician, and Professor in Tokyo",https://en.wikipedia.org/wiki/Adrian_David_Cheok,NA,1
Adrian Gibson,OAM,2014,2008,2008-11-09,2014-01-26,Yes,2014-01-26,2014-01-26,2014,-1904,-6,Post,M,VIC,20130544,Medal of the Order of Australia,Mr Adrian GIBSON,Australia Day 2014 Honours List,G,"For service to the arts, to agriculture, and to the Parliament of Australia.",Australian politician,https://en.wikipedia.org/wiki/Adrian_Gibson,NA,1
Adrian Grogan,OAM,2001,2011,2011-09-28,2001-01-26,Yes,2001-01-26,2001-01-26,2001,3897,10,Post,M,NSW,33235349,Medal of the Order of Australia,Mr Adrian Paul GROGAN,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic athlete,https://en.wikipedia.org/wiki/Adrian_Grogan,NA,1
Adrian King (basketball),OAM,2009,2011,2011-09-09,2009-01-26,Yes,2009-01-26,2009-01-26,2009,956,2,Post,M,QLD,33029308,Medal of the Order of Australia,Mr Adrian John KING,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian wheelchair basketball player,https://en.wikipedia.org/wiki/Adrian_King_(basketball),NA,1
Adrian Pagan,AO,2015,2009,2009-07-08,2015-01-26,Yes,2015-01-26,2015-01-26,2015,-2028,-6,Post,M,VIC,23534175,Officer of the Order of Australia,Professor Adrian Rodney PAGAN,Australia Day 2015 Honours List,G,"For distinguished service to tertiary education as an academic economist, to the development of public policy research, as an author, and through contributions to professional and financial organisations.",Australian economist,https://en.wikipedia.org/wiki/Adrian_Pagan,NA,1
Adrien Albert,AO,1989,2006,2006-11-02,1989-01-26,Yes,1989-01-26,2001-01-15,2001,2117,5,Pre,M,ACT,7747783,Officer of the Order of Australia,Emeritus Professor Adrien ALBERT,Australia Day 1989 Honours List,G,"In recognition of services to medical chemistry, particularly in the fields of teaching and research",leading authority in the development of medicinal chemistry in Australia,https://en.wikipedia.org/wiki/Adrien_Albert,NA,1
Adrienne Cahalan,OAM,2019,2005,2005-11-22,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-4948,-14,Post,F,NSW,3220864,Medal of the Order of Australia,Ms Adrienne Margaret CAHALAN,Queen's Birthday 2019 Honours List,G,For service to sailing.,Australian sailor,https://en.wikipedia.org/wiki/Adrienne_Cahalan,NA,1
Adrienne Clarke,AC,2004,2006,2006-07-05,2004-01-26,Yes,1991-06-10,2001-01-15,2001,1997,5,Pre,F,Other,5834667,Companion of the Order of Australia,Professor Adrienne Elizabeth CLARKE,Australia Day 2004 Honours List,NA,"For service to science and academia as a leading international researcher, for the application of economic benefit to scientific discovery, and for mentoring future leaders.",Australian plant geneticist & botanist (1938 -),https://en.wikipedia.org/wiki/Adrienne_Clarke,NA,2
Adrienne Smith,OAM,2008,2012,2012-06-26,2008-01-26,Yes,2008-01-26,2008-01-26,2008,1613,4,Post,F,NSW,36251262,Medal of the Order of Australia,Mrs Adrienne Mary SMITH,Australia Day 2008 Honours List,G,"For service to sports administration, particularly in the area of sport for people with a disability.",Australian sports official,https://en.wikipedia.org/wiki/Adrienne_Smith,NA,1
Ahmed Fahour,AO,2017,2006,2006-01-18,2017-01-26,Yes,2017-01-26,2017-01-26,2017,-4026,-11,Post,M,VIC,3758957,Officer of the Order of Australia,Mr Ahmed FAHOUR,Australia Day 2017 Honours List,G,"For distinguished service to business, particularly in the area of postal communications, to the banking and investment sectors, and as a supporter of improved multicultural relations.",Australian businessman,https://en.wikipedia.org/wiki/Ahmed_Fahour,NA,1
Aila Keto,AO,1994,2008,2008-02-15,1994-06-10,Yes,1994-06-10,2001-01-15,2001,2587,7,Pre,F,QLD,15765884,Officer of the Order of Australia,Dr Aila Inkeri KETO,The Queen's Birthday 1994 Honours List,G,"For service to conservation, particularly through promoting the protection and management of the wet tropical rainforests of Queensland.",Australian environmentalist,https://en.wikipedia.org/wiki/Aila_Keto,NA,1
Aileen Griffiths,OAM,1996,2013,2013-03-09,1996-01-26,Yes,1996-01-26,2001-01-15,2001,4436,12,Pre,F,NSW,38759325,Medal of the Order of Australia,Mrs Aileen May GRIFFITHS,Australia Day 1996 Honours List,G,OAM. AUST DAY1996. FOR SERVICE TO THE COMMUNITY,Notable community worker,https://en.wikipedia.org/wiki/Aileen_Griffiths,NA,1
Ainslie Roberts,AM,1993,2007,2007-02-07,1993-06-13,Yes,1993-06-13,2001-01-15,2001,2214,6,Pre,M,SA,9360117,Member of the Order of Australia,Mr Bertram Ainslie ROBERTS,The Queen's Birthday 1993 Honours List,G,"AM/FOR SERVICE TO ART, PARTICULARLY THROUGH THE INTERPRETATION OF ABORIGINAL DREAMTIME MYTHOLOGY. QUEENS BDAY 1993 GD",Australian artist (1911-1993),https://en.wikipedia.org/wiki/Ainslie_Roberts,NA,1
Ainslie Sheil,AM,2020,2010,2010-07-30,2020-06-07,Yes,2020-06-07,2020-06-07,2020,-3600,-10,Post,F,NSW,28198097,Member of the Order of Australia,Ms Ainslie June CAHILL,The Queen's Birthday 2020 Honours List,G,"For significant service to people living with arthritis, and to community health groups.",Australian organ transplant surgeon and rugby union player,https://en.wikipedia.org/wiki/Ainslie_Sheil,NA,1
Ajahn Brahm,AM,2019,2004,2004-10-24,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-5342,-15,Post,M,WA,1097896,Member of the Order of Australia,Ajahn Bhikkhu BRAHMAVAMSO,Queen's Birthday 2019 Honours List,G,"For significant service to Buddhism, and to gender equality.",Theravada Buddhist monk,https://en.wikipedia.org/wiki/Ajahn_Brahm,NA,1
Akio Mimura,AC,2012,2014,2014-03-20,2012-06-14,Yes,2012-06-14,2012-06-14,2012,644,2,Post,M,Other,42256374,Companion of the Order of Australia,Mr Akio MIMURA,Honorary Military Award (not gazetted),HG,For eminent service to strengthening and advancing the Australia-Japan bilateral trade and economic relationship.,Japanese businessman,https://en.wikipedia.org/wiki/Akio_Mimura,NA,1
Al Grassby,AM,1985,2004,2004-12-20,1985-01-26,Yes,1985-01-26,2001-01-15,2001,1435,3,Pre,M,ACT,1301139,Member of the Order of Australia,The Honourable Albert Jaime GRASSBY,Australia Day 1985 Honours List,G,In recognition of service to community relations,Australian politician,https://en.wikipedia.org/wiki/Al_Grassby,NA,1
Alan Bartholomai,AM,2012,2019,2019-03-21,2012-01-26,Yes,2012-01-26,2012-01-26,2012,2611,7,Post,M,QLD,60288528,Member of the Order of Australia,Dr Alan BARTHOLOMAI,Australia Day 2012 Honours List,G,"For service to the advancement of science, particularly through administrative roles with the Queensland Museum.",Australian geologist and palaeontologist,https://en.wikipedia.org/wiki/Alan_Bartholomai,NA,1
Alan Beaumont,AC,1992,2008,2008-05-06,1992-01-26,Yes,1982-01-26,2001-01-15,2001,2668,7,Pre,M,ACT,17286690,Companion of the Order of Australia,"Vice Admiral Alan Lee BEAUMONT, AO",Australia Day 1992 Honours List,M,"In recognition of service to the Australian Defence Force, particularly as Vice Chief of the Defence Force",Australian Navy officer,https://en.wikipedia.org/wiki/Alan_Beaumont,NA,3
Alan Blow,AO,2018,2013,2013-05-23,2018-01-26,Yes,1996-01-26,2001-01-15,2001,4511,12,Pre,M,TAS,39469948,Officer of the Order of Australia,The Honourable Justice Alan Michael BLOW OAM,Australia Day 2018 Honours List,G,"For distinguished service to the judiciary and to the law, particularly as Chief Justice of the Supreme Court of Tasmania, to legal education and professional standards, and to the community.",Australian jurist; Chief Justice of Tasmania,https://en.wikipedia.org/wiki/Alan_Blow,NA,2
Alan Bond,AO,1984,2004,2004-06-02,1984-01-26,Yes,1984-01-26,2001-01-15,2001,1234,3,Pre,U,WA,698219,Officer of the Order of Australia,Anonymous,Australia Day 1984 Honours List,G,"AO AD84. FOR SERVICE TO YACHTING, PARTICULARLY AS SYNDICATE CHAIRMAN AND TEAM CAPTAIN OF THE SUCCESSFUL AMERICA'S CUP CHALLENGE 1983.  APPOINTMENT TERMINATED UNDER O OF A TERMINATIONS AND CANCELLATION ORDINANCE 28 FEB 1997",Australian businessman and fraudster,https://en.wikipedia.org/wiki/Alan_Bond,NA,1
Alan Brown (Australian politician),AM,2018,2006,2006-07-12,2018-06-11,Yes,2018-06-11,2018-06-11,2018,-4352,-12,Post,M,VIC,5929872,Member of the Order of Australia,The Honourable Alan John BROWN,The Queen's Birthday 2018 Honours List,G,"For significant service to the vocational training and education sector, to philanthropy, and to the people and Parliament of Victoria.",Australian politician,https://en.wikipedia.org/wiki/Alan_Brown_(Australian_politician),NA,1
Alan Cadman,OAM,2009,2004,2004-03-28,2009-06-08,Yes,2009-06-08,2009-06-08,2009,-1898,-5,Post,M,NSW,11014885,Medal of the Order of Australia,The Honourable Alan Glyndwr CADMAN,The Queen's Birthday 2009 Honours List,G,"For service to the Parliament of Australia, and to the community of Mitchell.",Australian politician,https://en.wikipedia.org/wiki/Alan_Cadman,NA,1
Alan Coates,AM,2002,2015,2015-06-03,2002-06-10,Yes,2002-06-10,2002-06-10,2002,4741,13,Post,M,NSW,46882024,Member of the Order of Australia,Professor Alan Stuart COATES,The Queen's Birthday 2002 Honours List,NA,"For  service to medicine in the field of oncology, particularly through breast cancer research.",Australian clinical oncologist,https://en.wikipedia.org/wiki/Alan_Coates,NA,1
Alan Cowman,AC,2019,2018,2018-11-17,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-205,-1,Post,M,VIC,59082740,Companion of the Order of Australia,Professor Alan Frederick COWMAN,Queen's Birthday 2019 Honours List,G,"For eminent service to the biological sciences, notably to molecular parasitology, to medical research and scientific education, and as a mentor.",Australian Scientist,https://en.wikipedia.org/wiki/Alan_Cowman,NA,1
"Alan Davidson (cricketer, born 1929)",AM,1987,2005,2005-06-21,1987-01-26,Yes,1987-01-26,2001-01-15,2001,1618,4,Pre,M,NSW,2086470,Member of the Order of Australia,"Mr Alan Keith DAVIDSON, MBE",Australia Day 1987 Honours List,G,"AM AD87. FOR SERVICE TO CRICKET, MBE",Australian cricketer,"https://en.wikipedia.org/wiki/Alan_Davidson_(cricketer,_born_1929)",NA,2
"Alan Davidson (cricketer, born 1929)",AM,1987,2005,2005-06-21,1987-01-26,Yes,1987-01-26,2001-01-15,2001,1618,4,Pre,M,NSW,2086470,Member of the Order of Australia,"Mr Alan Keith DAVIDSON, MBE",Australia Day 1987 Honours List,G,"AM AD87. FOR SERVICE TO CRICKET, MBE",Australian cricketer,"https://en.wikipedia.org/wiki/Alan_Davidson_(cricketer,_born_1929)",NA,2
Alan Dupont,AO,2019,2009,2009-12-22,2019-06-10,Yes,2019-06-10,2019-06-10,2019,-3457,-10,Post,M,NSW,25525965,Officer of the Order of Australia,Dr Alan Anthony DUPONT,Queen's Birthday 2019 Honours List,G,For distinguished service to the international community through security analysis and strategic policy development.,Australian academic,https://en.wikipedia.org/wiki/Alan_Dupont,NA,1
Alan Edwards (actor),AM,1990,2006,2006-08-06,1990-01-26,Yes,1990-01-26,2001-01-15,2001,2029,5,Pre,M,QLD,6296252,Member of the Order of Australia,"Mr Alan Edmund William EDWARDS, MBE",Australia Day 1990 Honours List,G,In recognition of service to the performing arts,1925-2003 British actor,https://en.wikipedia.org/wiki/Alan_Edwards_(actor),NA,1
Alan Ferguson,AM,2020,2005,2005-07-01,2020-06-07,Yes,2020-06-07,2020-06-07,2020,-5455,-15,Post,M,SA,2148246,Member of the Order of Australia,The Honourable Alan Baird FERGUSON,The Queen's Birthday 2020 Honours List,G,"For significant service to the Parliament of Australia, and to the community of South Australia.",Australian politician,https://en.wikipedia.org/wiki/Alan_Ferguson,NA,1
Alan Finkel,AO,2014,2007,2007-08-12,2014-06-09,Yes,2014-06-09,2014-06-09,2014,-2493,-7,Post,M,VIC,12734018,Officer of the Order of Australia,Dr Alan Simon FINKEL,The Queen's Birthday 2014 Honours List,G,"For distinguished service to science and engineering, and to tertiary education administration, as an advocate for the protection of children, and to philanthropy.","Australian neuroscientist, engineer, entrepreneur and philanthropist",https://en.wikipedia.org/wiki/Alan_Finkel,NA,1
Alan Gilbert (Australian academic),AO,2008,2004,2004-10-02,2008-01-26,Yes,2008-01-26,2008-01-26,2008,-1211,-4,Post,M,Other,1033846,Officer of the Order of Australia,Professor Alan David GILBERT,Australia Day 2008 Honours List,G,"For service to tertiary education, particularly in the area of administrative and funding reform at Melbourne University, to the promotion of electronic learning in developing countries, and to Australia's contribution to global developments in higher education and research.",Australian historian,https://en.wikipedia.org/wiki/Alan_Gilbert_(Australian_academic),NA,1
Alan Goldberg (judge),AO,2005,2012,2012-04-04,2005-06-13,Yes,2005-06-13,2005-06-13,2005,2487,7,Post,M,VIC,35325354,Officer of the Order of Australia,The Honourable Justice Alan Henry GOLDBERG,The Queen's Birthday 2005 Honours List,G,"For service to the judiciary, particularly in the areas of competition law and equity, and to the community as a contributor to debate on human rights and civil liberties and as a supporter of the arts.",Australian judge,https://en.wikipedia.org/wiki/Alan_Goldberg_(judge),NA,1
Alan Head,AO,1992,2011,2011-12-26,1992-06-08,Yes,1992-06-08,2001-01-15,2001,3997,10,Pre,M,VIC,34191699,Officer of the Order of Australia,Dr Alan Kenneth HEAD,The Queen's Birthday 1992 Honours List,G,AO/QB 1992(GENERAL DIVISION). FOR SERVICE TO SCIENCE THROUGH RESEARCH INTO THE STRUCTURE OF SOLIDS AND ITS APPLICATION TO INDUSTRY,Australian physicist,https://en.wikipedia.org/wiki/Alan_Head,NA,1
Alan Hickinbotham,AM,1998,2010,2010-05-26,1998-01-26,Yes,1998-01-26,2001-01-15,2001,3418,9,Pre,M,SA,27482418,Member of the Order of Australia,Mr Alan David HICKINBOTHAM,Australia Day 1998 Honours List,G,"FOR SERVICE TO HOUSING AND URBAN DEVELOPMENT AS FOUNDER AND MANAGING DIRECTOR FOR OVER 40 YEARS OF THE HICKINBOTHAM GROUP, AND TO THE COMMUNITY OF ADELAIDE. AM S14 1998","Australian businessman, footballer and coach",https://en.wikipedia.org/wiki/Alan_Hickinbotham,NA,1
Alan Hunt (politician),AM,1992,2007,2007-07-03,1992-06-08,Yes,1992-06-08,2001-01-15,2001,2360,6,Pre,M,VIC,12064679,Member of the Order of Australia,"The Honourable Alan John HUNT, MLC",The Queen's Birthday 1992 Honours List,G,For service to the Victorian Parliament.,Australian politician,https://en.wikipedia.org/wiki/Alan_Hunt_(politician),NA,1
Alan Jones (radio broadcaster),AO,2004,2005,2005-04-13,2004-06-14,Yes,1988-01-26,2001-01-15,2001,1549,4,Pre,M,NSW,1731558,Officer of the Order of Australia,Mr Alan Belford JONES,The Queen's Birthday 2004 Honours List,G,"For service to the community as a supporter of and fundraiser for a wide range of not-for-profit organisations, to the media, and to sports administration.","Australian radio broadcaster, rugby union coach, and rugby league coach and administrator",https://en.wikipedia.org/wiki/Alan_Jones_(radio_broadcaster),NA,2
Alan Joyce (executive),AC,2017,2008,2008-07-29,2017-06-12,Yes,2017-06-12,2017-06-12,2017,-3240,-9,Post,M,NSW,18628064,Companion of the Order of Australia,Mr Alan Joseph JOYCE,The Queen's Birthday 2017 Honours List,G,"For eminent service to the aviation transport industry, to the development of the national and international tourism sectors, to gender equity, inclusion and diversity, and to the community, particularly as a supporter of Indigenous education.",Irish-Australian airline executive,https://en.wikipedia.org/wiki/Alan_Joyce_(executive),NA,1
Alan Kohler,AM,2019,2005,2005-02-25,2019-01-26,Yes,2019-01-26,2019-01-26,2019,-5083,-14,Post,M,VIC,1544248,Member of the Order of Australia,Mr Alan KOHLER,Australia Day 2019 Honours List,G,"For significant service to the print and broadcast media as an editor, journalist and finance commentator.",Australian journalist and editor,https://en.wikipedia.org/wiki/Alan_Kohler,NA,1
Alan Lind,AO,1978,2015,2015-11-08,1978-06-06,Yes,1978-06-06,2001-01-15,2001,5410,14,Pre,M,VIC,48493210,Officer of the Order of Australia,Mr Alan Alfred Campbell LIND,The Queen's Birthday 1978 Honours List,G,AO QB COM LIST 1978. FOR SERVICE TO THE COMMUNITY,Australian politician,https://en.wikipedia.org/wiki/Alan_Lind,NA,1
Alan Lopez,AC,2016,2014,2014-10-13,2016-06-13,Yes,2016-06-13,2016-06-13,2016,-609,-2,Post,M,QLD,44096552,Companion of the Order of Australia,Laureate Professor Alan Donald LOPEZ,The Queen's Birthday 2016 Honours List,G,"For eminent service to science, both nationally and internationally, as an academic, researcher and author, and to the advancement of planning and policy development to improve public health in developing countries.",Australian global and public health scholar and epidemiologist,https://en.wikipedia.org/wiki/Alan_Lopez,NA,1
Alan Loxton,AM,1991,2009,2009-08-10,1991-01-26,Yes,1991-01-26,2001-01-15,2001,3129,8,Pre,M,NSW,23927060,Member of the Order of Australia,Mr Alan Hamilton LOXTON,Australia Day 1991 Honours List,G,AM/AUSTRALIA DAY 1991 (GENERAL DIVISION) FOR SERVICE TO EDUCATION AND THE LAW,lawyer,https://en.wikipedia.org/wiki/Alan_Loxton,NA,1
