wikipediaPageID,name,pageCreation
19197431,Giovanni Antonaglia,2008-09-06
1890012,David Boyd artist,2005-05-15
39816128,John Ralston baritone,2013-06-30
16367787,Arthur Sinodinos,2008-03-18
64261539,Jim Bishop doctor,2020-06-13
14212220,John Bathersby,2007-11-12
14740903,Peter Baume,2007-12-17
22462457,David Bennett barrister,2009-04-18
173028,Geoff Gallop,2003-01-23
2167339,Reg Grundy,2005-07-04
4689709,John Howard,2001-11-11
41806205,Rob Atkinson surgeon,2014-02-01
61741878,Elizabeth Elliott paediatrician,2019-09-10
44118009,Es Downey,2014-10-15
12981998,Charles Birch,2007-08-28
59797109,Dorothy BucklandFuller,2019-01-29
57868261,Mollie CampbellSmith,2018-07-10
5999611,Paul Clitheroe,2006-07-17
11034057,Peter Corrigan,2007-05-03
11317534,Albert Dadon,2007-05-20
25812910,Tania de Jong,2010-01-15
2224602,James Kemsley,2005-07-13
16504981,Richard Lane writer,2008-03-23
2308201,Tracy Caulkins,2005-07-25
11271467,Peter Wilkinson drummer,2007-05-17
46452705,Max Graham footballer,2015-04-19
17468509,John Armitage politician,2008-05-17
44735492,James Purcell politician,2014-12-16
46778926,Jack Newton footballer,2015-05-23
7099631,Wolfgang Sievers,2006-09-21
2052106,Anne Phelan,2005-06-15
13253463,Henk Vogels,2007-09-13
2775329,Alan Seymour,2005-09-27
748320,Jim Stynes,2004-06-24
34167353,Charmaine Solomon,2011-12-23
38588604,Perry Crosswhite,2013-02-20
1739221,Raelene Boyle,2005-04-14
5161030,Bob Brown Australian Labor politician,2006-05-16
13706677,Barry Cohen,2007-10-13
8839965,Jennifer Strauss,2007-01-09
2415704,Naguib Kanawati,2005-08-09
5417231,Dennis Trewin,2006-06-04
9804900,Alex Chernov,2007-03-02
1937581,Ashley Cooper tennis,2005-05-25
59367524,Anne Kelso,2018-12-13
10737394,Iain McCalman,2007-04-17
4046989,Neil Mitchell radio presenter,2006-02-12
41675639,Mark Paterson public servant,2014-01-18
52885914,Jill Roe,2017-01-16
6126177,Don Talbot,2006-07-26
14684945,Mark Evans general,2007-12-13
10215129,Peter Leahy,2007-03-23
23473530,Victor Smorgon,2009-07-03
29508730,Ross Adler,2010-11-07
1864792,Peter Carnley,2005-05-09
22830239,Margaret McMurdo,2009-05-17
52650346,Anne Lynch artist,2016-12-21
4329321,Ron Evans,2006-03-09
5784134,Bert Flugelman,2006-07-01
27339085,John Yovich,2010-05-13
3194238,Les Murray broadcaster,2005-11-19
26466323,Peter Patmore,2010-03-08
774739,Ralph Doubell,2004-07-03
31824192,Steve Gilmore,2011-05-19
7291367,John Coates sports administrator,2006-10-04
3770588,David de Kretser,2006-01-19
7375355,Donald McDonald ABC chairperson,2006-10-10
1196855,Margaret Olley,2004-11-22
2007696,Shane Stone,2005-06-08
17685681,Margaret Beazley,2008-05-30
52037473,Julie Campbell vascular biologist,2016-10-19
810615,Rosemary Follett,2004-07-12
22725847,Michael Bryce,2009-05-08
30497704,Jim Clarko,2011-01-16
3034822,Greg Combet,2005-10-30
38828795,Keith De Lacy,2013-03-16
381507,Colleen McCullough,2003-11-28
34497242,Terry Moran public servant,2012-01-25
53257,Olivia NewtonJohn,2002-05-24
4938583,Richard Searby,2006-04-29
26549609,Ian Braid,2010-03-14
32127204,David Brockhoff,2011-06-18
17826162,Ash Power,2008-06-07
6162954,Jack Absalom,2006-07-28
33257359,Eric Charlton,2011-09-30
18899347,Jack Denham,2008-08-17
3631874,Julie McDonald swimmer born 1970,2006-01-06
20234189,Ernie Page politician,2008-11-16
60297986,Joan Rose Dwyer,2019-03-22
31097370,Richard Shine,2011-03-06
64419210,Jane Singleton,2020-06-30
