wpURL,wikipediaPageID,name,pageCreation,wikidataID,name2
https://en.wikipedia.org/wiki/Jesse_Martin,6549014,Jesse Martin,2006-08-19,Q1688176,Jesse Martin
https://en.wikipedia.org/wiki/Jimmy_Barnes,1138164,Jimmy Barnes,2004-07-09,Q1689312,Jimmy Barnes
https://en.wikipedia.org/wiki/Ron_Evans,4329321,Ron Evans,2006-03-09,Q1696151,Ron Evans
https://en.wikipedia.org/wiki/John_Aloysius_Morgan,19374545,John Aloysius Morgan,2008-09-18,Q1699135,John Aloysius Morgan
"https://en.wikipedia.org/wiki/John_Bertrand_(sailor,_born_1946)",657584,"John Bertrand (sailor, born 1946)",2004-05-16,Q1699327,John Bertrand
https://en.wikipedia.org/wiki/John_Dauth,21106304,John Dauth,2009-01-15,Q1699756,John Dauth
https://en.wikipedia.org/wiki/John_Kerr_(pathologist),46977844,John Kerr (pathologist),2015-06-14,Q1700021,John Kerr
https://en.wikipedia.org/wiki/John_Fahey_(politician),1398285,John Fahey (politician),2005-01-15,Q1700035,John Fahey
https://en.wikipedia.org/wiki/John_Kerin,2245109,John Kerin,2005-07-16,Q1700698,John Kerin
https://en.wikipedia.org/wiki/John_Williamson_(singer),2205045,John Williamson (singer),2005-07-10,Q1702184,John Williamson
https://en.wikipedia.org/wiki/June_Bevan,23873775,June Bevan,2009-08-05,Q1713258,June Bevan
https://en.wikipedia.org/wiki/Kate_Carnell,450313,Kate Carnell,2004-02-01,Q1735672,Kate Carnell
https://en.wikipedia.org/wiki/Kay_Patterson,948543,Kay Patterson,2004-09-01,Q1737400,Kay Patterson
https://en.wikipedia.org/wiki/Kevin_Scarce,11048941,Kevin Scarce,2007-05-04,Q1740252,Kevin Scarce
https://en.wikipedia.org/wiki/Khoo_Boon_Hui,2525122,Khoo Boon Hui,2005-08-24,Q1740666,Khoo Boon Hui
https://en.wikipedia.org/wiki/Tarnee_White,4247499,Tarnee White,2006-03-02,Q1761135,Tarnee White
https://en.wikipedia.org/wiki/Stan_Pilecki,9416304,Stan Pilecki,2007-02-10,Q1775702,Stan Pilecki
https://en.wikipedia.org/wiki/Peter_Brock,266215,Peter Brock,2003-07-13,Q1783224,Peter Brock
