wikipediaURL,fullName
https://en.wikipedia.org/wiki/John_Gandel,John Gandel
https://en.wikipedia.org/wiki/Alan_Joyce_(executive),Alan Joyce (executive)
https://en.wikipedia.org/wiki/Peter_Klinken,Peter Klinken
https://en.wikipedia.org/wiki/Julian_McMahon_(barrister),Julian McMahon (barrister)
https://en.wikipedia.org/wiki/Jacques_Nasser,Jacques Nasser
https://en.wikipedia.org/wiki/John_Shine,John Shine
https://en.wikipedia.org/wiki/Robert_Tickner,Robert Tickner
https://en.wikipedia.org/wiki/Alex_Zelinsky,Alex Zelinsky
https://en.wikipedia.org/wiki/Kay_Goldsworthy,Kay Goldsworthy
https://en.wikipedia.org/wiki/Antony_Green,Antony Green
https://en.wikipedia.org/wiki/Helen_Herrman,Helen Herrman
https://en.wikipedia.org/wiki/James_Hogan_(businessman),James Hogan (businessman)
https://en.wikipedia.org/wiki/Mo%27onia_Gerrard,Mo'onia Gerrard
https://en.wikipedia.org/wiki/Andrew_Ford_(composer),Andrew Ford (composer)
https://en.wikipedia.org/wiki/Ron_Dyer,Ron Dyer
https://en.wikipedia.org/wiki/George_Henry_Bennett,George Henry Bennett
https://en.wikipedia.org/wiki/Robert_Spence_(bishop),Robert Spence (bishop)
https://en.wikipedia.org/wiki/Darby_McCarthy,Darby McCarthy
https://en.wikipedia.org/wiki/Amanda_Keller,Amanda Keller
https://en.wikipedia.org/wiki/Roger_Noble,Roger Noble
