id,label,url,description,matchText,PossibleAlias,wikiDataMatch,wikiAusMatch
Q7145481,Patricia Brennan,//www.wikidata.org/wiki/Q7145481,Australian medical doctor; Anglican missionary; advocate for the ordination of women into the priesthood,Patricia Anne Brennan,Patricia Anne Brennan,Y,Y
Q7174103,Peter Fritz,//www.wikidata.org/wiki/Q7174103,Australian businessman,Peter Fritz,NA,Y,Y
Q6312262,June Dally-Watkins,//www.wikidata.org/wiki/Q6312262,Australian model,June Marie Dally-Watkins,June Marie Dally-Watkins,Y,Y
Q3018895,David Tonkin,//www.wikidata.org/wiki/Q3018895,"Australian politician, Liberal Party, Premier of South Australia 1979-1982",David Oliver Tonkin,David Oliver Tonkin,Y,Y
Q5540976,George Ivan Smith,//www.wikidata.org/wiki/Q5540976,Australian diplomat and radio broadcaster,George Ivan Smith,NA,Y,Y
Q809108,Barry Tuckwell,//www.wikidata.org/wiki/Q809108,Australian horn player,Barry Emmanuel Tuckwell,Barry Emmanuel Tuckwell,Y,Y
Q869751,George Dreyfus,//www.wikidata.org/wiki/Q869751,Australian bassoonist and composer,George Dreyfus,NA,Y,Y
Q1702184,John Williamson,//www.wikidata.org/wiki/Q1702184,Australian country music singer-songwriter,John Robert Williamson,John Robert Williamson,Y,Y
Q6193008,Jill Perryman,//www.wikidata.org/wiki/Q6193008,Australian actress,Jill Perryman,NA,Y,Y
Q76840007,Eric Charles Rolls,//www.wikidata.org/wiki/Q76840007,Australian farmer and environmentalist  (1923-2007),Eric Charles Rolls,NA,Y,Y
Q4977359,Bruce Dawe,//www.wikidata.org/wiki/Q4977359,Australian poet,Donald Bruce Dawe,Donald Bruce Dawe,Y,Y
Q6525783,Leonard Teale,//www.wikidata.org/wiki/Q6525783,Australian actor,Leonard George Teale,Leonard George Teale,Y,Y
Q5292412,Don Charlwood,//www.wikidata.org/wiki/Q5292412,Australian author,Donald Ernest Cameron Charlwood,Donald Ernest Cameron Charlwood,Y,Y
Q56811718,Ade Monsbourgh,//www.wikidata.org/wiki/Q56811718,Australian jazz musician,Adrian Herbert Monsbourgh,Adrian Herbert Monsbourgh,Y,Y
Q3033453,Max Dupain,//www.wikidata.org/wiki/Q3033453,Australian photographer,Maxwell Spencer Dupain,Maxwell Spencer Dupain,Y,Y
Q84777256,Max Watters,//www.wikidata.org/wiki/Q84777256,Australian artist,Maxwell Joseph Watters,Maxwell Joseph Watters,Y,Y
Q6287144,Joseph Stanislaus Ostoja-Kotkowski,//www.wikidata.org/wiki/Q6287144,Polish artist,Józef Stanisław Ostoja-Kotkowski,Józef Stanisław Ostoja-Kotkowski,Y,Y
Q87996521,Jean Skuse,//www.wikidata.org/wiki/Q87996521,Australian church worker,Jean Enid Skuse,Jean Enid Skuse,Y,Y
Q7188556,Phyllis Frost,//www.wikidata.org/wiki/Q7188556,Australian welfare worker and philanthropist,Phyllis Irene Frost,Phyllis Irene Frost,Y,Y
Q6196985,Jim Molan,//www.wikidata.org/wiki/Q6196985,Australian general and Senator,Andrew James Molan,Andrew James Molan,Y,Y
Q3900832,Peter Byrne,//www.wikidata.org/wiki/Q3900832,Australian basketball player,Peter Byrne,NA,Y,Y
Q23822314,Peter Byrne,//www.wikidata.org/wiki/Q23822314,"Australian politician, member of the Queensland Legislative Assembly from 1950-1969",Peter Byrne,NA,Y,Y
Q7173115,Peter Byrne,//www.wikidata.org/wiki/Q7173115,Australian television weather presenter,Peter Byrne,NA,Y,Y
Q5294160,Donald Chalmers,//www.wikidata.org/wiki/Q5294160,Senior Royal Australian Navy officer,Donald Bruce Chalmers,Donald Bruce Chalmers,Y,Y
Q6225040,John Cann,//www.wikidata.org/wiki/Q6225040,Australian politician,John Cann,NA,Y,Y
Q47546725,John Cann,//www.wikidata.org/wiki/Q47546725,Australian athlete,John Cann,NA,Y,Y
Q6225059,John Canny,//www.wikidata.org/wiki/Q6225059,Australian computer scientist,John Canny,NA,Y,Y
Q6226435,John Coates,//www.wikidata.org/wiki/Q6226435,Australian general,Henry John Coates,Henry John Coates,Y,Y
Q472596,Peter Arnison,//www.wikidata.org/wiki/Q472596,Australian politician and general,Peter Maurice Arnison,Peter Maurice Arnison,Y,Y
Q56887983,Helen Reid,//www.wikidata.org/wiki/Q56887983,Headmistress,Helen Margaret Jennifer Reid,Helen Margaret Jennifer Reid,Y,Y
Q28059118,Henry Oliver Lancaster,//www.wikidata.org/wiki/Q28059118,Australian mathematical statistician,Henry Oliver Lancaster,NA,Y,Y
Q21197039,Noel George Butlin,//www.wikidata.org/wiki/Q21197039,Australian economic historian,Noel George Butlin,NA,Y,Y
Q28219596,Maureen Brunt,//www.wikidata.org/wiki/Q28219596,Australian economist,Maureen Brunt,NA,Y,Y
Q13522497,David Malcolm,//www.wikidata.org/wiki/Q13522497,Australian judge,David Kingsley Malcolm,David Kingsley Malcolm,Y,Y
Q4798812,Arthur Gietzelt,//www.wikidata.org/wiki/Q4798812,Australian  politician,Arthur Thomas Gietzelt,Arthur Thomas Gietzelt,Y,Y
Q5292712,Don Grimes,//www.wikidata.org/wiki/Q5292712,Australian  politician,Donald James Grimes,Donald James Grimes,Y,Y
Q5983311,Ian Wood,//www.wikidata.org/wiki/Q5983311,Australian politician,Ian Alexander Christie Wood,Ian Alexander Christie Wood,Y,Y
Q4697493,Ainslie Sheil,//www.wikidata.org/wiki/Q4697493,Australian organ transplant surgeon and rugby union player,Ainslie Glenister Ross Sheil,Ainslie Glenister Ross Sheil,Y,Y
Q16745033,Alf Rattigan,//www.wikidata.org/wiki/Q16745033,Australian public servant,Godfrey Alfred Rattigan,Godfrey Alfred Rattigan,Y,Y
Q19664705,Thomas Alexander Johnson,//www.wikidata.org/wiki/Q19664705,Member of the Queensland Legislative Council,Thomas Alexander Johnson,NA,Y,Y
Q19878972,Sidney Robert Freshwater,//www.wikidata.org/wiki/Q19878972,Australian cycling administrator,Sidney Robert Freshwater,NA,Y,Y
Q1281683,John Alexander,//www.wikidata.org/wiki/Q1281683,Australian tennis player and politician,John Gilbert Alexander,John Gilbert Alexander,Y,Y
Q21165887,David Roderick Curtis,//www.wikidata.org/wiki/Q21165887,"Emeritus Professor Australian National University, since 1993",David Roderick Curtis,NA,Y,Y
Q38065570,Dean Mercer,//www.wikidata.org/wiki/Q38065570,Australian ironman athlete,Dean Paul Mercer,Dean Paul Mercer,Y,Y
Q442173,Kerry Saxby-Junna,//www.wikidata.org/wiki/Q442173,Australian racewalker,Kerry-Anne Saxby-Junna,Kerry-Anne Saxby-Junna,Y,Y
Q40510890,Wilma Shakespear,//www.wikidata.org/wiki/Q40510890,Australian netball player and coach,Wilma Joyce Shakespear,Wilma Joyce Shakespear,Y,Y
Q4731736,Allen Kerr,//www.wikidata.org/wiki/Q4731736,Australian botanist and geneticist,Allen Kerr,NA,Y,Y
Q547158,Edward Bede Clancy,//www.wikidata.org/wiki/Q547158,Australian archbishop,Edward Bede Clancy,NA,Y,Y
Q4864327,Barry Hunter,//www.wikidata.org/wiki/Q4864327,Australian bishop,Barry Russell Hunter,Barry Russell Hunter,Y,Y
Q3339743,Nick Farr-Jones,//www.wikidata.org/wiki/Q3339743,Australian rugby union player,Nicholas Campbell Farr-Jones,Nicholas Campbell Farr-Jones,Y,Y
Q15993028,John Grant,//www.wikidata.org/wiki/Q15993028,Australian neurosurgeon and disability sport administrator,John MacDonald Falconar Grant,John MacDonald Falconar Grant,Y,Y
Q6792288,Maude Bonney,//www.wikidata.org/wiki/Q6792288,Australian aviator,Maude Rose Bonney,Maude Rose Bonney,Y,Y
Q7172454,Peter Abeles,//www.wikidata.org/wiki/Q7172454,Australian transportation magnate,Emil Herbert Peter Abeles,Emil Herbert Peter Abeles,Y,Y
Q135154,John Cornforth,//www.wikidata.org/wiki/Q135154,Australian-British chemist,John Warcup Cornforth,John Warcup Cornforth,Y,Y
Q3016466,Darrel Baldock,//www.wikidata.org/wiki/Q3016466,Australian rules football player and coach,Darrel John Baldock,Darrel John Baldock,Y,Y
Q1239715,Donald Dunstan,//www.wikidata.org/wiki/Q1239715,Governor of South Australia (1982-91),Donald Beaumont Dunstan,Donald Beaumont Dunstan,Y,Y
Q19873615,Pat Galvin,//www.wikidata.org/wiki/Q19873615,Australian public servant,Patrick John Galvin,Patrick John Galvin,Y,Y
Q18166305,David Sadleir,//www.wikidata.org/wiki/Q18166305,"Australian diplomat, ambassador and intelligence chief",David Marshall Sadleir,David Marshall Sadleir,Y,Y
Q23008595,Ted Pocock,//www.wikidata.org/wiki/Q23008595,Australian public servant and diplomat,Edward Robert Pocock,Edward Robert Pocock,Y,Y
Q7358908,Roger Shipton,//www.wikidata.org/wiki/Q7358908,Australian politician,Roger Francis Shipton,Roger Francis Shipton,Y,Y
Q5127765,Clarrie Millar,//www.wikidata.org/wiki/Q5127765,Australian politician,Percival Clarence Millar,Percival Clarence Millar,Y,Y
Q55077265,Arthur Watson,//www.wikidata.org/wiki/Q55077265,Australian politician,Arthur John Watson,Arthur John Watson,Y,Y
Q5852726,Evelyn Livingston Billings,//www.wikidata.org/wiki/Q5852726,Australian physician,Evelyn Livingston Billings,NA,Y,Y
Q6831895,Michael Kirby,//www.wikidata.org/wiki/Q6831895,Australian jurist and academic,Michael Donald Kirby,Michael Donald Kirby,Y,Y
Q7822344,Tony Fitzgerald,//www.wikidata.org/wiki/Q7822344,Australian judge,Gerald Edward Fitzgerald,Gerald Edward Fitzgerald,Y,Y
Q515889,Roma Mitchell,//www.wikidata.org/wiki/Q515889,Australian judge,Roma Flinders Mitchell,Roma Flinders Mitchell,Y,Y
Q7793485,Thomas Reynolds,//www.wikidata.org/wiki/Q7793485,Australian politician,Thomas Reynolds,NA,Y,Y
Q6136300,James Howard Browne,//www.wikidata.org/wiki/Q6136300,Australian photographer and botanist,James Howard Browne,NA,Y,Y
Q4772860,Anthony Judge,//www.wikidata.org/wiki/Q4772860,Australian futurologist and encyclopedist,Anthony John Nesbitt Judge,Anthony John Nesbitt Judge,Y,Y
Q6266260,Johnny Ashcroft,//www.wikidata.org/wiki/Q6266260,Australian country musician,Johnny Ashcroft,NA,Y,Y
Q7183384,Philip Cox,//www.wikidata.org/wiki/Q7183384,Australian architect,Philip Cox,NA,Y,Y
Q20880414,Bill Wells,//www.wikidata.org/wiki/Q20880414,Australian rules footballer,William George Wells,William George Wells,Y,Y
Q72815853,Freda Glynn,//www.wikidata.org/wiki/Q72815853,Australian Indigenous media group founder,Freda Glynn,NA,Y,Y
Q17404074,Dorothy Ross,//www.wikidata.org/wiki/Q17404074,Australian activist,Dorothy Dickson Ross,Dorothy Dickson Ross,Y,Y
Q5718394,Henry Bosch,//www.wikidata.org/wiki/Q5718394,Australian businesspeople,Henry Bosch,NA,Y,Y
Q30240821,Max Olding,//www.wikidata.org/wiki/Q30240821,Australian pianist,Maxwell Charles Olding,Maxwell Charles Olding,Y,Y
Q2252671,Justine Saunders,//www.wikidata.org/wiki/Q2252671,Australian actress,Justine Saunders,NA,Y,Y
Q4875661,Bea Maddock,//www.wikidata.org/wiki/Q4875661,Australian artist (1934-2016),Beatrice Louise Maddock,Beatrice Louise Maddock,Y,Y
Q17054992,Patricia Scott,//www.wikidata.org/wiki/Q17054992,Australian public servant,Patricia Scott,NA,Y,Y
Q326911,Geoffrey Parsons,//www.wikidata.org/wiki/Q326911,Australian pianist,Geoffrey Penwill Parsons,Geoffrey Penwill Parsons,Y,Y
Q962122,Margaret Somerville,//www.wikidata.org/wiki/Q962122,Australian/Canadian ethicist/legal academic,Margaret Anne Ganley Somerville,Margaret Anne Ganley Somerville,Y,Y
Q6251198,John Oldham,//www.wikidata.org/wiki/Q6251198,Australian landscape architect,John Bramston Russell Oldham,John Bramston Russell Oldham,Y,Y
Q38769546,Viola Tait,//www.wikidata.org/wiki/Q38769546,"Australian singer, actress and philanthropist",Viola Wilson Tait,Viola Wilson Tait,Y,Y
Q7028122,Nick Waterlow,//www.wikidata.org/wiki/Q7028122,Australian art historian,Nicholas Anthony Ronald Waterlow,Nicholas Anthony Ronald Waterlow,Y,Y
Q1322680,Tony Rafty,//www.wikidata.org/wiki/Q1322680,Australian caricaturist,Anthony Rafty,Anthony Rafty,Y,Y
Q20879124,Colin Lanceley,//www.wikidata.org/wiki/Q20879124,Australian painter and sculptor,Colin John Lanceley,Colin John Lanceley,Y,Y
Q6794794,Max Gillies,//www.wikidata.org/wiki/Q6794794,Australian actor,Max Gillies,NA,Y,Y
Q924162,Peter Sculthorpe,//www.wikidata.org/wiki/Q924162,Australian composer,Peter Joshua Sculthorpe,Peter Joshua Sculthorpe,Y,Y
Q4709647,Albert Arlen,//www.wikidata.org/wiki/Q4709647,Australian actor and musician,Albert Arlen,NA,Y,Y
Q6234806,John Gandel,//www.wikidata.org/wiki/Q6234806,Australian businessman,John Gandel,NA,Y,Y
Q7351525,Roberta McRae,//www.wikidata.org/wiki/Q7351525,"Australian politician, teacher, lawyer, academic",Roberta McRae,NA,Y,Y
