"","id","label","url","description","matchText","PossibleAlias","wikiDataMatch"
"130","Q75700615","Peter Johnson","//www.wikidata.org/wiki/Q75700615","born 1947","Peter Johnson",NA,"Y"
"131","Q7175005","Peter Johnson","//www.wikidata.org/wiki/Q7175005","Australian politician, born 1943","Peter Johnson",NA,"Y"
"132","Q3376673","Peter Johnson","//www.wikidata.org/wiki/Q3376673","Australian rugby union player","Peter Johnson",NA,"Y"
"133","Q7175006","Peter Johnson","//www.wikidata.org/wiki/Q7175006","United States Navy Medal of Honor recipient","Peter Johnson",NA,"Y"
"134","Q7175012","Peter Johnson","//www.wikidata.org/wiki/Q7175012","American poet, born 1951","Peter Johnson",NA,"Y"
"135","Q3442357","Rose Adler","//www.wikidata.org/wiki/Q3442357","French bookbinder","Rose Adler",NA,"Y"
"136","Q7332104","Ricky Johnson","//www.wikidata.org/wiki/Q7332104","American motorcycle racer","Rick Johnson","Rick Johnson","Y"
"137","Q7331487","Rick Johnson","//www.wikidata.org/wiki/Q7331487","Canadian football player","Rick Johnson",NA,"Y"
"138","Q7331488","Rick Johnson","//www.wikidata.org/wiki/Q7331488","Canadian politician","Rick Johnson",NA,"Y"
"139","Q16220978","Rick Johnson","//www.wikidata.org/wiki/Q16220978","American musician","Rick Johnson",NA,"Y"
"140","Q7331486","Rick Johnson","//www.wikidata.org/wiki/Q7331486","Wikimedia disambiguation page","Rick Johnson",NA,"Y"
"141","Q16730371","Rick Johnson","//www.wikidata.org/wiki/Q16730371","American politician","Rick Johnson",NA,"Y"
"142","Q7331490","Rick Johnson","//www.wikidata.org/wiki/Q7331490","American writer and speaker","Rick Johnson",NA,"Y"
"143","Q92155195","Rick Johnson, JD: Finding a Window of Opportunity in Corporate Wellness and How to Open It","//www.wikidata.org/wiki/Q92155195","scientific article published on 01 February 2019","Rick Johnson, JD: Finding a Window of Opportunity in Corporate Wellness and How to Open It",NA,"Y"
"144","Q20664899","Ray Finnigan","//www.wikidata.org/wiki/Q20664899","English footballer","Raymond William Finnigan","Raymond William Finnigan","Y"
"145","Q7606009","Stefan Ackerie","//www.wikidata.org/wiki/Q7606009","Australian hairdresser","Stefan Ackerie",NA,"Y"
"146","Q3900084","Perry Crosswhite","//www.wikidata.org/wiki/Q3900084","Australian basketball player","Perry Crosswhite",NA,"Y"
"147","Q7169760","Perry Crossing","//www.wikidata.org/wiki/Q7169760","unincorporated community in Clark County, Indiana","Perry Crossing",NA,"Y"
"148","Q75615855","Christopher David Jones","//www.wikidata.org/wiki/Q75615855","Peerage person ID=246842","Christopher David Jones",NA,"Y"
"149","Q62559766","Kevin J. Edwards","//www.wikidata.org/wiki/Q62559766","palaeoecologist","Kevin John Edwards","Kevin John Edwards","Y"
"150","Q6515494","Lee Webb","//www.wikidata.org/wiki/Q6515494","American football player","Lee Webb",NA,"Y"
"151","Q6515492","Lee Webb","//www.wikidata.org/wiki/Q6515492",NA,"Lee Webb",NA,"Y"
"152","Q21338697","Colin Limpus","//www.wikidata.org/wiki/Q21338697","Australian ecologist and herpetologist","Colin James Limpus","Colin James Limpus","Y"
"153","Q58022634","Rita Bentley","//www.wikidata.org/wiki/Q58022634","British tennis player (1931-2016)","Rita Bentley",NA,"Y"
"154","Q8013493","William James Scott","//www.wikidata.org/wiki/Q8013493","Canadian politician","William James Scott",NA,"Y"
"155","Q56815961","Perry Bartlett","//www.wikidata.org/wiki/Q56815961","neuroscientist","Perry Francis Bartlett","Perry Francis Bartlett","Y"
"156","Q21165716","Colin Watts","//www.wikidata.org/wiki/Q21165716","researcher","Colin Watts",NA,"Y"
"157","Q92892013","Colin Watts","//www.wikidata.org/wiki/Q92892013","researcher (ORCID 0000-0003-3531-8791)","Colin Watts",NA,"Y"
"158","Q24285826","Colin Watts","//www.wikidata.org/wiki/Q24285826","cricketer","Colin Watts",NA,"Y"
"159","Q51146528","Julie Fitzgerald","//www.wikidata.org/wiki/Q51146528","researcher","Julie Fitzgerald",NA,"Y"
"160","Q30125950","Julie Fitzgerald","//www.wikidata.org/wiki/Q30125950","Australian judoka","Julie Fitzgerald",NA,"Y"
"161","Q76841327","Glenn Bourke","//www.wikidata.org/wiki/Q76841327","Australian yachtsman","Glenn Bourke",NA,"Y"
"162","Q1428440","Michael Clarke","//www.wikidata.org/wiki/Q1428440","Australian Cricketer","Michael Clarke",NA,"Y"
"163","Q57942480","Michael Clarke","//www.wikidata.org/wiki/Q57942480","researcher, ORCID id # 0000-0002-9639-5670","Michael Clarke",NA,"Y"
"164","Q725166","Michael Clarke","//www.wikidata.org/wiki/Q725166","American drummer","Michael Clarke",NA,"Y"
"165","Q80206","Michael Clarke","//www.wikidata.org/wiki/Q80206","Wikimedia disambiguation page","Michael Clarke",NA,"Y"
"166","Q88174800","Michael Clarke","//www.wikidata.org/wiki/Q88174800","researcher (ORCID 0000-0002-2926-7257)","Michael Clarke",NA,"Y"
"167","Q21604242","Michael Clarke","//www.wikidata.org/wiki/Q21604242","politician","Michael Clarke",NA,"Y"
"168","Q76001151","Michael Clarke","//www.wikidata.org/wiki/Q76001151","Peerage person ID=459577","Michael Clarke",NA,"Y"
"169","Q87782215","Michael Clarke","//www.wikidata.org/wiki/Q87782215","researcher","Michael Clarke",NA,"Y"
"170","Q75420093","Michael Clarke","//www.wikidata.org/wiki/Q75420093","Peerage person ID=130438","Michael Clarke",NA,"Y"
"171","Q6829290","Michael Clarke","//www.wikidata.org/wiki/Q6829290","Barbadian cricketer","Michael Clarke",NA,"Y"
"172","Q3515937","Tashi Tsering","//www.wikidata.org/wiki/Q3515937","Tibetan writer","Tashi Tsering",NA,"Y"
"173","Q3260309","Tashi Tsering","//www.wikidata.org/wiki/Q3260309","Nepalese association footballer","Tashi Tsering",NA,"Y"
"174","Q729409","Tashi Tsering","//www.wikidata.org/wiki/Q729409","Tibetan historian","Tashi Tsering",NA,"Y"
"175","Q1213761","Tashi Tsering","//www.wikidata.org/wiki/Q1213761","Wikimedia disambiguation page","Tashi Tsering",NA,"Y"
"176","Q7687203","Tashi Tsering","//www.wikidata.org/wiki/Q7687203","Buddhist philosopher","Tashi Tsering",NA,"Y"
"177","Q7687202","Tashi Tsering","//www.wikidata.org/wiki/Q7687202","teacher in the Gelug school of Tibetan Buddhism","Tashi Tsering",NA,"Y"
"178","Q19689165","Tashi Tsering Phuri","//www.wikidata.org/wiki/Q19689165",NA,"Tashi Tsering Phuri",NA,"Y"
"179","Q18686163","Cathy Foley","//www.wikidata.org/wiki/Q18686163","Australian physicist","Catherine Patricia Foley","Catherine Patricia Foley","Y"
"180","Q59578575","Caroline McMillen","//www.wikidata.org/wiki/Q59578575","Australian medical and health academic","Isabella Caroline McMillen","Isabella Caroline McMillen","Y"
"181","Q23696661","Tamara Davis","//www.wikidata.org/wiki/Q23696661","Australian astrophysicist","Tamara Maree Davis","Tamara Maree Davis","Y"
"182","Q63449650","Mario Magris","//www.wikidata.org/wiki/Q63449650","Italian military officer","Mario Magris",NA,"Y"
"183","Q96148955","Simon Stuart","//www.wikidata.org/wiki/Q96148955","Australian army officer","Simon Andrew Stuart","Simon Andrew Stuart","Y"
"184","Q77093205","Jonathan Mead","//www.wikidata.org/wiki/Q77093205","Royal Australian Navy officer","Jonathan Dallas Mead","Jonathan Dallas Mead","Y"
"185","Q6375587","Kate Lamont","//www.wikidata.org/wiki/Q6375587","Cook and author","Kate Lamont",NA,"Y"
"186","Q76223082","Michael John Hawker","//www.wikidata.org/wiki/Q76223082","Peerage person ID=616566","Michael John Hawker",NA,"Y"
"187","Q28457004","Roy MacLeod","//www.wikidata.org/wiki/Q28457004","British historian","Roy Malcolm Macleod","Roy Malcolm Macleod","Y"
"188","Q85864395","Kenneth Rigby","//www.wikidata.org/wiki/Q85864395",NA,"Kenneth Rigby",NA,"Y"
"189","Q7321393","Rhondda Jones","//www.wikidata.org/wiki/Q7321393","Australian zoologist","Rhondda Elizabeth Jones","Rhondda Elizabeth Jones","Y"
"190","Q53678222","Jeffrey Lipman","//www.wikidata.org/wiki/Q53678222","researcher","Jeffrey Lipman",NA,"Y"
"191","Q10834574","William Stewart Logan","//www.wikidata.org/wiki/Q10834574","Australian historian of architcture","William Stewart Logan",NA,"Y"
"192","Q7518847","Simon Gipson","//www.wikidata.org/wiki/Q7518847","Australian teacher","Simon Gipson",NA,"Y"
"193","Q96187869","Sue Lopez Atkinson","//www.wikidata.org/wiki/Q96187869","early childhood educator","Sue Margaret Lopez Atkinson","Sue Margaret Lopez Atkinson","Y"
"194","Q1933517","Mike Smith","//www.wikidata.org/wiki/Q1933517","American jazz saxophonist","Michael Alan Smith","Michael Alan Smith","Y"
"195","Q61052732","Aaron Kearney","//www.wikidata.org/wiki/Q61052732","Irish cyclist","Aaron Kearney",NA,"Y"
"196","Q4662139","Aaron Kearney","//www.wikidata.org/wiki/Q4662139","Broadcaster and journalist","Aaron Kearney",NA,"Y"
"197","Q42636594","Christine Phillips","//www.wikidata.org/wiki/Q42636594","researcher","Christine Phillips",NA,"Y"
"198","Q59737370","Christine Phillips","//www.wikidata.org/wiki/Q59737370","researcher ORCID ID = 0000-0001-8397-0333","Christine Phillips",NA,"Y"
"199","Q19667874","Christine Phillips","//www.wikidata.org/wiki/Q19667874","Australian architect","Christine Phillips",NA,"Y"
"200","Q60141411","Jeanine Young","//www.wikidata.org/wiki/Q60141411","researcher ORCID ID = 0000-0003-3849-3392","Jeanine Young",NA,"Y"
"201","Q16730730","Susan Kenny","//www.wikidata.org/wiki/Q16730730","Australian judge","Susan Coralie Kenny","Susan Coralie Kenny","Y"
"202","Q56249737","Sean Dorney","//www.wikidata.org/wiki/Q56249737","Australian journalist","Sean Christopher Dorney","Sean Christopher Dorney","Y"
"203","Q3161747","Jan Sardi","//www.wikidata.org/wiki/Q3161747","Australian screenwriter","Jan Vittorio Sardi","Jan Vittorio Sardi","Y"
"204","Q4757493","Andrew Jaspan","//www.wikidata.org/wiki/Q4757493","British journalist","Andrew Jaspan",NA,"Y"
